crossentropy,kl,score,klw,tfr,lr
3120.0630283355713,83670.94036197662,0.8235025772306956,0.088,0.92,0.001
3147.0235047340393,83350.9695892334,0.7535471720311494,0.089,0.92,0.001
3482.2847847938538,82702.90888309479,0.8041513577474348,0.09,0.91,0.001
3870.1172881126404,81916.9311580658,0.8080086443022182,0.091,0.91,0.001
3225.5138387680054,81977.21887779236,0.7558410389860077,0.092,0.91,0.001
3699.0710849761963,81915.18409729004,0.6843568904131826,0.093,0.91,0.001
3097.2462396621704,80624.829829216,0.8117547564954818,0.094,0.91,0.001
3868.4646763801575,81234.51002025604,0.7626329686746547,0.095,0.91,0.001
3639.2102813720703,80943.49341583252,0.7433279254806443,0.096,0.91,0.001
3295.820383787155,80627.33040714264,0.7972717602921487,0.097,0.91,0.001
4069.4004888534546,79892.08894252777,0.8036449886430489,0.098,0.91,0.001
4371.3939480781555,80219.47900295258,0.746555110710338,0.099,0.91,0.001
3958.5633249282837,78853.06930732727,0.8138001529064492,0.1,0.9,0.001
3427.0952095985413,79535.75976371765,0.7711179783775348,0.101,0.9,0.001
3693.479962825775,78284.76766681671,0.8019452187720343,0.10200000000000001,0.9,0.001
4125.122230529785,78487.047123909,0.7987917339367234,0.10300000000000001,0.9,0.001
3222.9111523628235,77894.43885612488,0.7978758000491831,0.10400000000000001,0.9,0.001
4311.782615184784,77831.30976200104,0.7333154259758661,0.105,0.9,0.001
4159.877780914307,77064.313788414,0.7887169742074315,0.106,0.9,0.001
3711.9334869384766,76535.03757476807,0.7622260206488385,0.107,0.9,0.001
4246.711353302002,76344.39815425873,0.7983267662441456,0.108,0.9,0.001
4347.239592075348,76164.74173259735,0.8341672459957808,0.109,0.9,0.001
4481.4061551094055,75696.90860843658,0.7876248480166318,0.11,0.89,0.001
4071.8998458385468,75849.74019622803,0.7733855642769238,0.111,0.89,0.001
4115.390092849731,75193.12774085999,0.8341478260587671,0.112,0.89,0.001
4247.895354270935,75176.08117103577,0.8204646213861659,0.113,0.89,0.001
4670.28191280365,74214.35440635681,0.7538015207845415,0.114,0.89,0.001
3885.507568836212,73907.70398426056,0.7815233855030752,0.115,0.89,0.001
4470.946100234985,74212.05878639221,0.7688415104734253,0.116,0.89,0.001
4486.878580093384,73884.98633289337,0.8265379688045337,0.117,0.89,0.001
5301.785794258118,73508.91993331909,0.829400743401689,0.11800000000000001,0.89,0.001
4254.740640640259,72985.0669336319,0.7504523454104408,0.11900000000000001,0.89,0.001
5089.414091587067,72737.52482795715,0.7003083715052013,0.12,0.88,0.001
4740.013799190521,72869.20311260223,0.8034794067164347,0.121,0.88,0.001
4533.239261627197,72401.41387653351,0.7926135972138062,0.122,0.88,0.001
4965.576947212219,72577.73684120178,0.8077294333924735,0.123,0.88,0.001
5549.765193939209,72371.2218170166,0.7891744904555957,0.124,0.88,0.001
4737.040274143219,72004.83425331116,0.794076432641359,0.125,0.88,0.001
4939.38232421875,71715.38933944702,0.8074402365669744,0.126,0.88,0.001
4422.850733757019,70801.9684791565,0.7898845387415413,0.127,0.88,0.001
4460.807304382324,70914.54206466675,0.8479139188320312,0.128,0.88,0.001
4906.414923429489,70454.60027694702,0.8071984757720067,0.129,0.88,0.001
4740.821992397308,70748.39261722565,0.8113732077076524,0.13,0.87,0.001
5099.790900230408,69863.42892551422,0.7657955567345696,0.131,0.87,0.001
5015.120329380035,69066.36644935608,0.7806763663494842,0.132,0.87,0.001
5175.462994098663,70175.47999382019,0.741255279930502,0.133,0.87,0.001
5442.377180099487,69174.0060415268,0.6983566178099436,0.134,0.87,0.001
5898.202896118164,69457.85685443878,0.7781334251306243,0.135,0.87,0.001
5211.4284019470215,69570.8935804367,0.7591856864736257,0.136,0.87,0.001
5348.893455028534,69660.21458148956,0.819631469684687,0.137,0.87,0.001
5528.994915485382,69223.75473117828,0.7654621781442351,0.138,0.87,0.001
5053.598926544189,68813.3695230484,0.8157139597284236,0.139,0.87,0.001
5188.486075162888,68034.81819820404,0.8106699809315441,0.14,0.86,0.001
5035.978385448456,67411.28434085846,0.7871000750808471,0.14100000000000001,0.86,0.001
5279.732325553894,68222.73267936707,0.7775378724560491,0.14200000000000002,0.86,0.001
5596.010059833527,67591.7155342102,0.7925878616386531,0.14300000000000002,0.86,0.001
5190.37943315506,66605.29464817047,0.7304151487711268,0.14400000000000002,0.86,0.001
5526.10075211525,67447.32501888275,0.7924237784611714,0.145,0.86,0.001
5086.388792037964,67104.32192802429,0.7735874856135306,0.146,0.86,0.001
5598.472744464874,67241.63541316986,0.6980149000494024,0.147,0.86,0.001
5436.24844956398,66012.04876422882,0.8135345802641182,0.148,0.86,0.001
5527.237917900085,65809.31417274475,0.7584385317712622,0.149,0.86,0.001
5624.770915031433,65834.2341594696,0.8021864214164472,0.15,0.85,0.001
6431.47159576416,66495.14037418365,0.7836683784064122,0.151,0.85,0.001
